Songs,Songs_rename,Singers,Singers_rename
15,15,Mr.,Mr.
5x幻覺,5xHuanJue,Mr.,Mr.
Dance Floor,DanceFloor,Mr.,Mr.
Everyone (DJ Mix Version),Everyone(DJMixVersion),Mr.,Mr.
Everyone (James Holroyd Remix) (Bonus Track),Everyone(JamesHolroydRemix)(BonusTrack),Mr.,Mr.
Everyone(Cyber Clash),Everyone(CyberClash),Mr.,Mr.
Everyone,Everyone,Mr.,Mr.
From The Space,FromTheSpace,Mr.,Mr.
Go(粵),Go(Yue),Mr.,Mr.
Me,Me,Mr.,Mr.
Merry Christmas To You,MerryChristmasToYou,Mr.,Mr.
Mister,Mister,Mr.,Mr.
Mr. Tam (Pre-rocker One Take Version),Mr.Tam(Pre-rockerOneTakeVersion),Mr.,Mr.
No Fear,NoFear,Mr.,Mr.
Overture…,Overture…,Mr.,Mr.
Storm,Storm,Mr.,Mr.
Tonight Tonight,TonightTonight,Mr.,Mr.
Voice Mail Message + 戰禍,VoiceMailMessage+ZhanHuo,Mr.,Mr.
Voice Mail Message +戰禍,VoiceMailMessage+ZhanHuo,Mr.,Mr.
Wake Up,WakeUp,Mr.,Mr.
What R We Fighting 4,WhatRWeFighting4,Mr.,Mr.
一句(really game live 2015),YiJu(reallygamelive2015),Mr.,Mr.
一句,YiJu,Mr.,Mr.
一首情歌,YiShouQingGe,Mr.,Mr.
不屈,BuQu,Mr.,Mr.
中伏,ZhongFu,Mr.,Mr.
事事有天知(粵),ShiShiYouTianZhi(Yue),Mr.,Mr.
人一世物一世,RenYiShiWuYiShi,Mr.,Mr.
人間遊戲,RenJianYouXi,Mr.,Mr.
今天怎麼了,JinTianZenMaLiao,Mr.,Mr.
假使,JiaShi,Mr.,Mr.
偷喝酒的故事(粵),TouHeJiuDeGuShi(Yue),Mr.,Mr.
兩大無猜,LiangDaWuCai,Mr.,Mr.
兩愛三地,LiangAiSanDi,Mr.,Mr.
六時零十五十六分(粵),LiuShiLingShiWuShiLiuFen(Yue),Mr.,Mr.
再見,ZaiJian,Mr.,Mr.
再難又如何(粵),ZaiNanYouRuHe(Yue),Mr.,Mr.
口罩,KouZhao,Mr.,Mr.
只好再見,ZhiHaoZaiJian,Mr.,Mr.
同進,TongJin,Mr.,Mr.
告別寂寞號,GaoBieJiMoHao,Mr.,Mr.
天下(really game live 2015),TianXia(reallygamelive2015),Mr.,Mr.
天下,TianXia,Mr.,Mr.
天知道,TianZhiDao,Mr.,Mr.
太匆匆,TaiCongCong,Mr.,Mr.
如果我是陳奕迅(Creeping Death Mix),RuGuoWoShiChenYiXun(CreepingDeathMix),Mr.,Mr.
如果我是陳奕迅(國語),RuGuoWoShiChenYiXun(GuoYu),Mr.,Mr.
如果我是陳奕迅,RuGuoWoShiChenYiXun,Mr.,Mr.
宅男日記(粵),ZhaiNanRiJi(Yue),Mr.,Mr.
安歌,AnGe,Mr.,Mr.
尋找一千遍(Crystal Burn Remix),XunZhaoYiQianBian(CrystalBurnRemix),Mr.,Mr.
尋找一千遍(粵),XunZhaoYiQianBian(Yue),Mr.,Mr.
尋找一千遍,XunZhaoYiQianBian,Mr.,Mr.
對錯論,DuiCuoLun,Mr.,Mr.
小傳奇,XiaoChuanQi,Mr.,Mr.
就這樣忘掉...,JiuZheYangWangDiao...,Mr.,Mr.
就這樣忘掉你,JiuZheYangWangDiaoNi,Mr.,Mr.
從前說,CongQianShuo,Mr.,Mr.
恭敬不如從命,GongJingBuRuCongMing,Mr.,Mr.
想太多(Tonal Groove Remix),XiangTaiDuo(TonalGrooveRemix),Mr.,Mr.
想太多(粵),XiangTaiDuo(Yue),Mr.,Mr.
想太多,XiangTaiDuo,Mr.,Mr.
愛你(really game live 2015),AiNi(reallygamelive2015),Mr.,Mr.
愛你,AiNi,Mr.,Mr.
愛有限,AiYouXian,Mr.,Mr.
愛與和平,AiYuHePing,Mr.,Mr.
感動(Electronicy),GanDong(Electronicy),Mr.,Mr.
感動(really game live 2015),GanDong(reallygamelive2015),Mr.,Mr.
感動,GanDong,Mr.,Mr.
我要走更遠,WoYaoZouGengYuan,Mr.,Mr.
換畫,HuanHua,Mr.,Mr.
搏一鋪,BoYiPu,Mr.,Mr.
搖擺(Rock Hed Mix),YaoBai(RockHedMix),Mr.,Mr.
搖擺,YaoBai,Mr.,Mr.
新平衡,XinPingHeng,Mr.,Mr.
方向感,FangXiangGan,Mr.,Mr.
昨天 (The German Story),ZuoTian(TheGermanStory),Mr.,Mr.
昨天(really game live 2015),ZuoTian(reallygamelive2015),Mr.,Mr.
昨天,ZuoTian,Mr.,Mr.
時間遊戲,ShiJianYouXi,Mr.,Mr.
智能世代(粵),ZhiNengShiDai(Yue),Mr.,Mr.
最重要,ZuiZhongYao,Mr.,Mr.
月人(粵),YueRen(Yue),Mr.,Mr.
未來在宇宙盡頭,WeiLaiZaiYuZhouJinTou,Mr.,Mr.
未知(國),WeiZhi(Guo),Mr.,Mr.
本能,BenNeng,Mr.,Mr.
校長先生,XiaoChangXianSheng,Mr.,Mr.
森林(really game live 2015),SenLin(reallygamelive2015),Mr.,Mr.
森林(粵),SenLin(Yue),Mr.,Mr.
森林,SenLin,Mr.,Mr.
無謂再假(really game live 2015),WuWeiZaiJia(reallygamelive2015),Mr.,Mr.
無謂再假,WuWeiZaiJia,Mr.,Mr.
熱血(hidden track),ReXie(hiddentrack),Mr.,Mr.
現在,XianZai,Mr.,Mr.
現實遊戲(really game live 2015),XianShiYouXi(reallygamelive2015),Mr.,Mr.
現實遊戲,XianShiYouXi,Mr.,Mr.
發神經,FaShenJing,Mr.,Mr.
目的地,MuDeDi,Mr.,Mr.
相見好,XiangJianHao,Mr.,Mr.
第五類接觸,DiWuLeiJieChu,Mr.,Mr.
等不了(Gosh Tripper Remix),DengBuLiao(GoshTripperRemix),Mr.,Mr.
等不了(粵),DengBuLiao(Yue),Mr.,Mr.
等不了,DengBuLiao,Mr.,Mr.
算愛,SuanAi,Mr.,Mr.
糖衣陷阱(粵),TangYiXianJing(Yue),Mr.,Mr.
約翰人生(& 譚詠麟),YueHanRenSheng(&TanYongLin),Mr.,Mr.
約翰人生(粵),YueHanRenSheng(Yue),Mr.,Mr.
背影,BeiYing,Mr.,Mr.
自言自語,ZiYanZiYu,Mr.,Mr.
致未來的我,ZhiWeiLaiDeWo,Mr.,Mr.
舊日理想,JiuRiLiXiang,Mr.,Mr.
良知門,LiangZhiMen,Mr.,Mr.
藍儂夢,LanNongMeng,Mr.,Mr.
走一走,ZouYiZou,Mr.,Mr.
走獸,ZouShou,Mr.,Mr.
超越,ChaoYue,Mr.,Mr.
遇到了,YuDaoLiao,Mr.,Mr.
遠走高飛,YuanZouGaoFei,Mr.,Mr.
還原成長,HuanYuanChengChang,Mr.,Mr.
邊城(really game live 2015),BianCheng(reallygamelive2015),Mr.,Mr.
邊城,BianCheng,Mr.,Mr.
那年這天(really game live 2015),NaNianZheTian(reallygamelive2015),Mr.,Mr.
那年這天,NaNianZheTian,Mr.,Mr.
釋放自己,ShiFangZiJi,Mr.,Mr.
長路,ChangLu,Mr.,Mr.
雙面人(really game live 2015),ShuangMianRen(reallygamelive2015),Mr.,Mr.
雙面人,ShuangMianRen,Mr.,Mr.
零時起哄,LingShiQiHong,Mr.,Mr.
飛行的100個理由,FeiXingDe100GeLiYou,Mr.,Mr.
魔毯,MoTan,Mr.,Mr.
黃昏的你好嗎,HuangHunDeNiHaoMa,Mr.,Mr.
黑色狂迷(粵),HeiSeKuangMi(Yue),Mr.,Mr.
黑色狂迷,HeiSeKuangMi,Mr.,Mr.
20th Century Boy,20thCenturyBoy,側田,CeTian
3 Months,3Months,側田,CeTian
450蚊 (& 肥媽),450Wen(&FeiMa),側田,CeTian
450蚊(& 肥媽),450Wen(&FeiMa),側田,CeTian
B.O.K TWENTIETEN,B.O.KTWENTIETEN,側田,CeTian
B.O.K.,B.O.K.,側田,CeTian
B.O.K,B.O.K,側田,CeTian
Back At One,BackAtOne,側田,CeTian
Best Thing In My Life,BestThingInMyLife,側田,CeTian
c u in my dream (Outro),cuinmydream(Outro),側田,CeTian
Chotto Matte (Interlude),ChottoMatte(Interlude),側田,CeTian
Come Together,ComeTogether,側田,CeTian
Dream Away,DreamAway,側田,CeTian
Erica,Erica,側田,CeTian
Farmer's rock,Farmer'srock,側田,CeTian
Fight For Your Right,FightForYourRight,側田,CeTian
FUN享,FUNXiang,側田,CeTian
Heads Up Phones Down (feat. Dough-Boy),HeadsUpPhonesDown(feat.Dough-Boy),側田,CeTian
Heads Up Phones Down(& Dough-Boy),HeadsUpPhonesDown(&Dough-Boy),側田,CeTian
I Miss Love,IMissLove,側田,CeTian
Imagine,Imagine,側田,CeTian
Interlude 1,Interlude1,側田,CeTian
Interlude 2,Interlude2,側田,CeTian
Intoxication,Intoxication,側田,CeTian
Intro (小生怕怕),Intro(XiaoShengPaPa),側田,CeTian
INTRO,INTRO,側田,CeTian
Kong,Kong,側田,CeTian
Love 40,Love40,側田,CeTian
Loving You,LovingYou,側田,CeTian
Morning After,MorningAfter,側田,CeTian
Saranghae,Saranghae,側田,CeTian
Second Best,SecondBest,側田,CeTian
She's Out Of My Life,She'sOutOfMyLife,側田,CeTian
Stuck On U,StuckOnU,側田,CeTian
Super Hero,SuperHero,側田,CeTian
Superstar,Superstar,側田,CeTian
Talk,Talk,側田,CeTian
Three Two One,ThreeTwoOne,側田,CeTian
UPSIDEDOWN,UPSIDEDOWN,側田,CeTian
Volar,Volar,側田,CeTian
WA-KA-BAM!! (Intro),WA-KA-BAM!!(Intro),側田,CeTian
Watch Out,WatchOut,側田,CeTian
WeTouch,WeTouch,側田,CeTian
White Christmas,WhiteChristmas,側田,CeTian
You'll Shine Again,You'llShineAgain,側田,CeTian
一個人唱的合唱歌,YiGeRenChangDeHeChangGe,側田,CeTian
一句(國語),YiJu(GuoYu),側田,CeTian
一句,YiJu,側田,CeTian
一念,YiNian,側田,CeTian
一粒糖,YiLiTang,側田,CeTian
三十日,SanShiRi,側田,CeTian
三歲或八十,SanSuiHuoBaShi,側田,CeTian
下次無下次,XiaCiWuXiaCi,側田,CeTian
不經不覺,BuJingBuJue,側田,CeTian
世界小姐,ShiJieXiaoJie,側田,CeTian
中環,ZhongHuan,側田,CeTian
中間人(古巨基&側田),ZhongJianRen(GuJuJi&CeTian),側田,CeTian
信口開河,XinKouKaiHe,側田,CeTian
信我,XinWo,側田,CeTian
側太,CeTai,側田,CeTian
兩個女人,LiangGeNuRen,側田,CeTian
冰淇淋之味,BingQiLinZhiWei,側田,CeTian
出口,ChuKou,側田,CeTian
午夜蓓蕾,WuYeBeiLei,側田,CeTian
半杯入魂,BanBeiRuHun,側田,CeTian
卡通歌,QiaTongGe,側田,CeTian
原來你什麼都想要,YuanLaiNiShiMaDuXiangYao,側田,CeTian
合唱歌,HeChangGe,側田,CeTian
同步,TongBu,側田,CeTian
命書,MingShu,側田,CeTian
命硬,MingYing,側田,CeTian
咖啡因萬歲,KaFeiYinWanSui,側田,CeTian
夢女,MengNu,側田,CeTian
好人(Original),HaoRen(Original),側田,CeTian
好人,HaoRen,側田,CeTian
年年有今日(側田&古巨基),NianNianYouJinRi(CeTian&GuJuJi),側田,CeTian
幸福止痛,XingFuZhiTong,側田,CeTian
很想很想說再見(Demo),HenXiangHenXiangShuoZaiJian(Demo),側田,CeTian
很想很想說再見(國),HenXiangHenXiangShuoZaiJian(Guo),側田,CeTian
很想很想說再見,HenXiangHenXiangShuoZaiJian,側田,CeTian
得來不易,DeLaiBuYi,側田,CeTian
恭喜發財歌,GongXiFaCaiGe,側田,CeTian
情歌,QingGe,側田,CeTian
情永落,QingYongLuo,側田,CeTian
愛的習慣,AiDeXiGuan,側田,CeTian
感動(粵),GanDong(Yue),側田,CeTian
感動,GanDong,側田,CeTian
懷很舊的舊,HuaiHenJiuDeJiu,側田,CeTian
我不是好人,WoBuShiHaoRen,側田,CeTian
我有今日,WoYouJinRi,側田,CeTian
拜託，我不寂寞,BaiTuo，WoBuJiMo,側田,CeTian
擦擦擦,CaCaCa,側田,CeTian
星火(唐素琪&側田),XingHuo(TangSuQi&CeTian),側田,CeTian
未輸,WeiShu,側田,CeTian
橙色暑假(粵),ChengSeShuJia(Yue),側田,CeTian
歌成就今天這個我,GeChengJiuJinTianZheGeWo,側田,CeTian
決戰二世祖,JueZhanErShiZu,側田,CeTian
無言無語,WuYanWuYu,側田,CeTian
無限大,WuXianDa,側田,CeTian
爽,Shuang,側田,CeTian
男人KTV,NanRenKTV,側田,CeTian
硬仗,YingZhang,側田,CeTian
祝君好,ZhuJunHao,側田,CeTian
紅地氈,HongDiZhan,側田,CeTian
美麗之最,MeiLiZhiZui,側田,CeTian
膚淺,FuQian,側田,CeTian
自身,ZiShen,側田,CeTian
貝殼,BeiKe,側田,CeTian
走音,ZouYin,側田,CeTian
路人甲,LuRenJia,側田,CeTian
躍動的心( J2翡翠二台 台歌),YueDongDeXin(J2FeiCuiErTaiTaiGe),側田,CeTian
躍動的心,YueDongDeXin,側田,CeTian
運,Yun,側田,CeTian
遲鈍,ChiDun,側田,CeTian
門徒,MenTu,側田,CeTian
闊太,KuoTai,側田,CeTian
難關,NanGuan,側田,CeTian
雲,Yun,側田,CeTian
頭條新聞,TouTiaoXinWen,側田,CeTian
風從哪裡來(國),FengCongNaLiLai(Guo),側田,CeTian
#香港勁揪,#XiangGangJingJiu,古巨基,GuJuJi
1+1,1+1,古巨基,GuJuJi
1.2.3.4.5,1.2.3.4.5,古巨基,GuJuJi
All Because Of You(Music),AllBecauseOfYou(Music),古巨基,GuJuJi
All Yours (主音結他：雷頌德),AllYours(ZhuYinJieTa：LeiSongDe),古巨基,GuJuJi
BA DA DA,BADADA,古巨基,GuJuJi
Be My Valentine,BeMyValentine,古巨基,GuJuJi
Believe,Believe,古巨基,GuJuJi
Bye Bye Bye,ByeByeBye,古巨基,GuJuJi
Can we try,Canwetry,古巨基,GuJuJi
Chorus Solo,ChorusSolo,古巨基,GuJuJi
Dear Leslie,DearLeslie,古巨基,GuJuJi
Do Mo A Li Ga To,DoMoALiGaTo,古巨基,GuJuJi
Eyes With Tears (主音結他：Joey Tang),EyesWithTears(ZhuYinJieTa：JoeyTang),古巨基,GuJuJi
Flowers Don't Hurt (主音結他：Joey Tang),FlowersDon'tHurt(ZhuYinJieTa：JoeyTang),古巨基,GuJuJi
Forward Your Love,ForwardYourLove,古巨基,GuJuJi
Gone Too Soon,GoneTooSoon,古巨基,GuJuJi
Happy Birthday 2U,HappyBirthday2U,古巨基,GuJuJi
Hea,Hea,古巨基,GuJuJi
I Believe,IBelieve,古巨基,GuJuJi
I Have A Dream,IHaveADream,古巨基,GuJuJi
La La (主音結他：Barry Chung),LaLa(ZhuYinJieTa：BarryChung),古巨基,GuJuJi
Love don't hurt,Lovedon'thurt,古巨基,GuJuJi
Ma Ma I Love You,MaMaILoveYou,古巨基,GuJuJi
Masterpiece(Music),Masterpiece(Music),古巨基,GuJuJi
Medley,Medley,古巨基,GuJuJi
Medley勁歌金曲,MedleyJingGeJinQu,古巨基,GuJuJi
Men And Women(Music),MenAndWomen(Music),古巨基,GuJuJi
Monica,Monica,古巨基,GuJuJi
Mother's Day Medley(念親恩),Mother'sDayMedley(NianQinEn),古巨基,GuJuJi
Oh!Baby(Piano Version),Oh!Baby(PianoVersion),古巨基,GuJuJi
Oh!Baby,Oh!Baby,古巨基,GuJuJi
Old Boy,OldBoy,古巨基,GuJuJi
Once Upon A Time,OnceUponATime,古巨基,GuJuJi
Opening,Opening,古巨基,GuJuJi
Ran(Music),Ran(Music),古巨基,GuJuJi
Santa Claus,SantaClaus,古巨基,GuJuJi
See You Next Time,SeeYouNextTime,古巨基,GuJuJi
Shirley,Shirley,古巨基,GuJuJi
So Long,SoLong,古巨基,GuJuJi
Someday,Someday,古巨基,GuJuJi
String Solo,StringSolo,古巨基,GuJuJi
Take Me Higher,TakeMeHigher,古巨基,GuJuJi
TOGETHER,TOGETHER,古巨基,GuJuJi
TOUCH,TOUCH,古巨基,GuJuJi
Try My Hands(Music),TryMyHands(Music),古巨基,GuJuJi
Welcome To Amazing World,WelcomeToAmazingWorld,古巨基,GuJuJi
[哥迷會]送給 [哥哥]張國榮60誕辰的生日禮物,[GeMiHui]SongGei[GeGe]ZhangGuoRong60DanChenDeShengRiLiWu,古巨基,GuJuJi
一光年,YiGuangNian,古巨基,GuJuJi
一刻永恆,YiKeYongHeng,古巨基,GuJuJi
一生何求,YiShengHeQiu,古巨基,GuJuJi
一生可求,YiShengKeQiu,古巨基,GuJuJi
一知半解,YiZhiBanJie,古巨基,GuJuJi
三國無雙,SanGuoWuShuang,古巨基,GuJuJi
下次再見,XiaCiZaiJian,古巨基,GuJuJi
下雨看世界,XiaYuKanShiJie,古巨基,GuJuJi
不再是朋友,BuZaiShiPengYou,古巨基,GuJuJi
不如留低我,BuRuLiuDiWo,古巨基,GuJuJi
不敢說我愛你,BuGanShuoWoAiNi,古巨基,GuJuJi
不是偶然,BuShiOuRan,古巨基,GuJuJi
不老男孩,BuLaoNanHai,古巨基,GuJuJi
不聚不散,BuJuBuSan,古巨基,GuJuJi
不要說你不知道,BuYaoShuoNiBuZhiDao,古巨基,GuJuJi
不見得,BuJianDe,古巨基,GuJuJi
中箭,ZhongJian,古巨基,GuJuJi
中間人(& 側田),ZhongJianRen(&CeTian),古巨基,GuJuJi
亂,Luan,古巨基,GuJuJi
亂世情侶,LuanShiQingLu,古巨基,GuJuJi
亮晶晶,LiangJingJing,古巨基,GuJuJi
人生有幾個十年,RenShengYouJiGeShiNian,古巨基,GuJuJi
人生有幾多個十年,RenShengYouJiDuoGeShiNian,古巨基,GuJuJi
以你為榮,YiNiWeiRong,古巨基,GuJuJi
以後就這樣了,YiHouJiuZheYangLiao,古巨基,GuJuJi
任天堂流淚 (國),RenTianTangLiuLei(Guo),古巨基,GuJuJi
任天堂流淚(國),RenTianTangLiuLei(Guo),古巨基,GuJuJi
任天堂流淚,RenTianTangLiuLei,古巨基,GuJuJi
何必打擾,HeBiDaRao,古巨基,GuJuJi
你快樂(所以我快樂),NiKuaiLe(SuoYiWoKuaiLe),古巨基,GuJuJi
你恨到,NiHenDao,古巨基,GuJuJi
你是我信心,NiShiWoXinXin,古巨基,GuJuJi
你是陽光空氣,NiShiYangGuangKongQi,古巨基,GuJuJi
你生,NiSheng,古巨基,GuJuJi
來吧小精靈,LaiBaXiaoJingLing,古巨基,GuJuJi
來年來日,LaiNianLaiRi,古巨基,GuJuJi
倒影先生,DaoYingXianSheng,古巨基,GuJuJi
假如,JiaRu,古巨基,GuJuJi
側面,CeMian,古巨基,GuJuJi
傷追人,ShangZhuiRen,古巨基,GuJuJi
像朋友一樣,XiangPengYouYiYang,古巨基,GuJuJi
儂本多情,NongBenDuoQing,古巨基,GuJuJi
光天化日,GuangTianHuaRi,古巨基,GuJuJi
全年無休,QuanNianWuXiu,古巨基,GuJuJi
兩個故事,LiangGeGuShi,古巨基,GuJuJi
兩小無猜,LiangXiaoWuCai,古巨基,GuJuJi
八九十,BaJiuShi,古巨基,GuJuJi
公主病了,GongZhuBingLiao,古巨基,GuJuJi
公告天下我愛你,GongGaoTianXiaWoAiNi,古巨基,GuJuJi
共同渡過 ,GongTongDuGuo,古巨基,GuJuJi
其實我...我...我,QiShiWo...Wo...Wo,古巨基,GuJuJi
其實我們一樣自私,QiShiWoMenYiYangZiSi,古巨基,GuJuJi
其實我我我,QiShiWoWoWo,古巨基,GuJuJi
冬天,DongTian,古巨基,GuJuJi
冷水,LengShui,古巨基,GuJuJi
初初,ChuChu,古巨基,GuJuJi
初心(國),ChuXin(Guo),古巨基,GuJuJi
初心,ChuXin,古巨基,GuJuJi
功課,GongKe,古巨基,GuJuJi
勁歌金曲 3 – Party King,JingGeJinQu3–PartyKing,古巨基,GuJuJi
勁歌金曲,JingGeJinQu,古巨基,GuJuJi
勁歌金曲3 Party King,JingGeJinQu3PartyKing,古巨基,GuJuJi
北半球選美離奇火警事故,BeiBanQiuXuanMeiLiQiHuoJingShiGu,古巨基,GuJuJi
十秒之後,ShiMiaoZhiHou,古巨基,GuJuJi
十蚊雞流浪記,ShiWenJiLiuLangJi,古巨基,GuJuJi
原來只要共你活一天,YuanLaiZhiYaoGongNiHuoYiTian,古巨基,GuJuJi
原來的你,YuanLaiDeNi,古巨基,GuJuJi
原來的自己,YuanLaiDeZiJi,古巨基,GuJuJi
友共情,YouGongQing,古巨基,GuJuJi
另一雙手,LingYiShuangShou,古巨基,GuJuJi
只友情不變,ZhiYouQingBuBian,古巨基,GuJuJi
只要有你(& 黃奕 & 周傑 & 馬伊琍 & 黃曉明 & 劉濤),ZhiYaoYouNi(&HuangYi&ZhouJie&MaYiLi&HuangXiaoMing&LiuTao),古巨基,GuJuJi
可惜我是水瓶座,KeXiWoShiShuiPingZuo,古巨基,GuJuJi
史上最強漫畫王大亂鬥,ShiShangZuiQiangManHuaWangDaLuanDou,古巨基,GuJuJi
同班同學,TongBanTongXue,古巨基,GuJuJi
告別我的戀人們,GaoBieWoDeLianRenMen,古巨基,GuJuJi
告別黑暗,GaoBieHeiAn,古巨基,GuJuJi
周星呢,ZhouXingNi,古巨基,GuJuJi
啦啦,LaLa,古巨基,GuJuJi
喜歡,XiHuan,古巨基,GuJuJi
喜歡喜歡喜歡我,XiHuanXiHuanXiHuanWo,古巨基,GuJuJi
喝采,HeCai,古巨基,GuJuJi
嗜好,ShiHao,古巨基,GuJuJi
嗶嗶叫,BiBiJiao,古巨基,GuJuJi
嘩嘩叫,HuaHuaJiao,古巨基,GuJuJi
回憶公路,HuiYiGongLu,古巨基,GuJuJi
因為一朵花而放棄一個花園,YinWeiYiDuoHuaErFangQiYiGeHuaYuan,古巨基,GuJuJi
因為了解，所以分手？,YinWeiLiaoJie，SuoYiFenShou？,古巨基,GuJuJi
在這離別的時候,ZaiZheLiBieDeShiHou,古巨基,GuJuJi
地球很危險,DiQiuHenWeiXian,古巨基,GuJuJi
垃圾,LaJi,古巨基,GuJuJi
夏天的童話,XiaTianDeTongHua,古巨基,GuJuJi
夜空的精靈,YeKongDeJingLing,古巨基,GuJuJi
夠朋友(古巨基&孫楠),GouPengYou(GuJuJi&SunNan),古巨基,GuJuJi
夠朋友(國)(&孫楠),GouPengYou(Guo)(&SunNan),古巨基,GuJuJi
夢中人,MengZhongRen,古巨基,GuJuJi
大師作品,DaShiZuoPin,古巨基,GuJuJi
大雄 (國),DaXiong(Guo),古巨基,GuJuJi
大雄(Happy Ending),DaXiong(HappyEnding),古巨基,GuJuJi
大雄(劇場版),DaXiong(JuChangBan),古巨基,GuJuJi
大雄,DaXiong,古巨基,GuJuJi
天才與白痴 (國),TianCaiYuBaiChi(Guo),古巨基,GuJuJi
天才與白痴,TianCaiYuBaiChi,古巨基,GuJuJi
天才與白癡(國),TianCaiYuBaiChi(Guo),古巨基,GuJuJi
天才與白癡,TianCaiYuBaiChi,古巨基,GuJuJi
天氣會變,TianQiHuiBian,古巨基,GuJuJi
太空艙,TaiKongCang,古巨基,GuJuJi
失常(Vol.Max),ShiChang(Vol.Max),古巨基,GuJuJi
好人,HaoRen,古巨基,GuJuJi
好想好想,HaoXiangHaoXiang,古巨基,GuJuJi
妳是陽光空氣,NaiShiYangGuangKongQi,古巨基,GuJuJi
子華說 (featuring 黃子華),ZiHuaShuo(featuringHuangZiHua),古巨基,GuJuJi
子華說,ZiHuaShuo,古巨基,GuJuJi
宅,Zhai,古巨基,GuJuJi
宇宙大帝,YuZhouDaDi,古巨基,GuJuJi
完美的一天,WanMeiDeYiTian,古巨基,GuJuJi
富萬代(國),FuWanDai(Guo),古巨基,GuJuJi
富萬代,FuWanDai,古巨基,GuJuJi
尋寶,XunBao,古巨基,GuJuJi
對你始終癡心一往,DuiNiShiZhongChiXinYiWang,古巨基,GuJuJi
對門匙說...,DuiMenChiShuo...,古巨基,GuJuJi
小城大事,XiaoChengDaShi,古巨基,GuJuJi
小小意思,XiaoXiaoYiSi,古巨基,GuJuJi
小指,XiaoZhi,古巨基,GuJuJi
小明星,XiaoMingXing,古巨基,GuJuJi
小流氓,XiaoLiuMang,古巨基,GuJuJi
小甜蜜,XiaoTianMi,古巨基,GuJuJi
崛起(古巨基&容祖兒),JueQi(GuJuJi&RongZuEr),古巨基,GuJuJi
平凡,PingFan,古巨基,GuJuJi
年年有今日,NianNianYouJinRi,古巨基,GuJuJi
幸福方舟,XingFuFangZhou,古巨基,GuJuJi
幸福號列車,XingFuHaoLieChe,古巨基,GuJuJi
幸運鈴聲,XingYunLingSheng,古巨基,GuJuJi
往生,WangSheng,古巨基,GuJuJi
從前情人好嗎,CongQianQingRenHaoMa,古巨基,GuJuJi
心裡仍得她一個,XinLiRengDeTaYiGe,古巨基,GuJuJi
心裡有數,XinLiYouShu,古巨基,GuJuJi
心跳回憶,XinTiaoHuiYi,古巨基,GuJuJi
心跳時刻,XinTiaoShiKe,古巨基,GuJuJi
必殺技(The Kkk X'mas Party Band),BiShaJi(TheKkkX'masPartyBand),古巨基,GuJuJi
必殺技,BiShaJi,古巨基,GuJuJi
忘了時間的鐘,WangLiaoShiJianDeZhong,古巨基,GuJuJi
怪物,GuaiWu,古巨基,GuJuJi
悟空,WuKong,古巨基,GuJuJi
情歌王,QingGeWang,古巨基,GuJuJi
惡搞,EGao,古巨基,GuJuJi
想說笑,XiangShuoXiao,古巨基,GuJuJi
愛到最底,AiDaoZuiDi,古巨基,GuJuJi
愛回家,AiHuiJia,古巨基,GuJuJi
愛得太晚,AiDeTaiWan,古巨基,GuJuJi
愛得太遲 (合唱版),AiDeTaiChi(HeChangBan),古巨基,GuJuJi
愛得太遲(古巨基&周慧敏),AiDeTaiChi(GuJuJi&ZhouHuiMin),古巨基,GuJuJi
愛得太遲,AiDeTaiChi,古巨基,GuJuJi
愛恨交纏,AiHenJiaoChan,古巨基,GuJuJi
愛情也有生命(& 容祖兒),AiQingYeYouShengMing(&RongZuEr),古巨基,GuJuJi
愛情也有生命(&容祖兒),AiQingYeYouShengMing(&RongZuEr),古巨基,GuJuJi
愛情馬戲班,AiQingMaXiBan,古巨基,GuJuJi
愛是憑直覺,AiShiPingZhiJue,古巨基,GuJuJi
愛的解釋,AiDeJieShi,古巨基,GuJuJi
愛神,AiShen,古巨基,GuJuJi
愛美麗,AiMeiLi,古巨基,GuJuJi
愛與夢飛行,AiYuMengFeiXing,古巨基,GuJuJi
愛與誠 (國),AiYuCheng(Guo),古巨基,GuJuJi
愛與誠(國),AiYuCheng(Guo),古巨基,GuJuJi
愛與誠,AiYuCheng,古巨基,GuJuJi
愛變了這世界襯衣,AiBianLiaoZheShiJieChenYi,古巨基,GuJuJi
愛風,AiFeng,古巨基,GuJuJi
感嘆號,GanTanHao,古巨基,GuJuJi
感情真相,GanQingZhenXiang,古巨基,GuJuJi
戀後感,LianHouGan,古巨基,GuJuJi
戀無可戀,LianWuKeLian,古巨基,GuJuJi
我不睡,WoBuShui,古巨基,GuJuJi
我們的彩虹,WoMenDeCaiHong,古巨基,GuJuJi
我們的超人,WoMenDeChaoRen,古巨基,GuJuJi
我和你的未來,WoHeNiDeWeiLai,古巨基,GuJuJi
我對門匙說,WoDuiMenChiShuo,古巨基,GuJuJi
我愛毛查查,WoAiMaoChaCha,古巨基,GuJuJi
我是貓,WoShiMao,古巨基,GuJuJi
我有一個好朋友,WoYouYiGeHaoPengYou,古巨基,GuJuJi
我沒有戀愛,WoMeiYouLianAi,古巨基,GuJuJi
我生,WoSheng,古巨基,GuJuJi
我的天空是你的天空,WoDeTianKongShiNiDeTianKong,古巨基,GuJuJi
我的驕傲,WoDeJiaoAo,古巨基,GuJuJi
我自問,WoZiWen,古巨基,GuJuJi
